"name,value_euro,age,overall_rating"
"L. Messi,110500000,31,94"
"C. Eriksen,69500000,27,88"
"P. Pogba,73000000,25,88"
"L. Insigne,62000000,27,88"
"K. Koulibaly,60000000,27,88"
"V. van Dijk,59500000,27,88"
"K. Mbappé,81000000,20,88"
"S. Agüero,64500000,30,89"
"M. Neuer,38000000,32,89"
"E. Cavani,60000000,32,89"
"Sergio Busquets,51500000,30,89"
"T. Courtois,53500000,26,89"
"M. ter Stegen,58000000,26,89"
"A. Griezmann,78000000,27,89"
"M. Salah,78500000,26,89"
"P. Dybala,89000000,25,89"
"M. Škriniar,53500000,24,86"
"Fernandinho,20500000,33,87"
"G. Higuaín,48500000,31,87"
"I. Rakitić,46500000,30,87"
"J. Vertonghen,34000000,31,87"
"D. Mertens,45000000,31,87"
"Marcelo,36500000,30,87"
"T. Alderweireld,44000000,30,87"
"Jordi Alba,38000000,29,87"
"Thiago,51500000,27,87"
"C. Immobile,52000000,29,87"
"K. Navas,30500000,32,87"
"Isco,62500000,26,87"
"J. Rodríguez,59000000,27,87"
"Casemiro,50500000,27,87"
"M. Icardi,64500000,26,87"
"Kepa,31000000,24,84"
"H. Ziyech,38000000,25,84"
"Fabinho,34000000,25,84"
"A. Martial,42500000,23,84"
"T. Werner,40000000,23,84"
"N. Süle,36500000,23,84"
"Bruno Fernandes,40500000,24,84"
"Alex Telles,31000000,26,84"
"J. Giménez,34000000,24,84"
"N. Fekir,40500000,25,84"
"D. Sánchez,34000000,22,84"
"Marco Asensio,41500000,23,84"
"O. Dembélé,46000000,21,84"
"Iniesta,18500000,34,85"
"Z. Ibrahimović,14000000,37,85"
"Jorginho,30000000,27,83"
"E. Višća,26000000,29,83"
"S. Gnabry,34000000,23,83"
"M. Kovačić,35000000,24,83"
"William Carvalho,27000000,26,83"
"Felipe,22500000,29,83"
"Y. Carrasco,33000000,25,83"
"Lucas Vázquez,27000000,27,83"
"Q. Promes,28000000,27,83"
"L. Goretzka,34000000,24,83"
"A. Rabiot,33000000,23,83"
"A. Romagnoli,31000000,24,83"
"João Cancelo,29500000,24,83"
"Anderson Talisca,34000000,25,83"
"K. Coman,34500000,22,83"
"T. Lemar,35500000,23,83"
"J. Tah,25000000,23,82"
"M. Politano,28000000,25,82"
"C. Lenglet,26000000,23,82"
"Pau López,21500000,24,82"
"H. Lozano,29500000,23,82"
"Malcom,31500000,22,82"
"L. Torreira,25000000,23,82"
"Gonçalo Guedes,29000000,22,82"
"G. Lo Celso,30000000,22,82"
"Fabián,32000000,22,82"
"F. de Jong,31000000,21,82"
"Raphaelito Anjos,14000000,31,82"
"Juiano Mestres,6500000,35,82"
"Rosberto Dourado,16500000,31,82"
"Arthur,32500000,22,82"
"Rodri,29000000,22,82"
"M. Parolo,9000000,34,82"
"M. Kruse,21500000,30,82"
"J. Henderson,18000000,28,82"
"N. Gaitán,21000000,31,82"
"M. Arnautović,22000000,29,82"
"S. Giovinco,20000000,32,82"
"G. Sigurðsson,22500000,29,82"
"Giuliano,22500000,28,82"
"P. Gulácsi,18000000,28,82"
"Luiz Gustavo,16500000,31,82"
"K. Trippier,18500000,28,82"
"A. Ramsey,23000000,28,82"
"M. Balotelli,23500000,28,82"
"Marlos,21000000,30,82"
"Taison,21000000,31,82"
"G. Bonaventura,22000000,29,82"
"G. Kondogbia,22000000,26,81"
"J. Roussillon,18000000,26,81"
"S. Zaza,21000000,27,81"
